score,task,channel,ch_idx,n,r,p,p_fdr,sig_raw,sig_fdr
STAIT,SS,S5_D5,13,16,0.008856148855400953,0.9740323791636057,0.9826867441464717,False,False
STAIT,SS,S5_D8,14,16,-0.1505545305418162,0.5778306854859824,0.9723378822163565,False,False
STAIT,SS,S6_D3,15,16,-0.0752772652709081,0.7817213858312266,0.9723378822163565,False,False
STAIT,SS,S6_D6,16,16,-0.11070186069251192,0.6831662611967427,0.9723378822163565,False,False
STAIT,SS,S7_D4,17,16,0.10479776145557794,0.6993088158231461,0.9723378822163565,False,False
STAIT,SS,S7_D6,18,16,0.053136893132405716,0.8450460990465242,0.9723378822163565,False,False
STAIT,SS,S7_D7,19,16,0.08708546374477603,0.7484415908164523,0.9723378822163565,False,False
STAIT,SS,S8_D5,20,16,-0.07084919084320762,0.7942966981289434,0.9723378822163565,False,False
STAIT,SS,S8_D7,21,16,-0.05166086832317223,0.8493038889397246,0.9723378822163565,False,False
STAIT,SS,S8_D8,22,16,-0.19926334924652142,0.45938046418544454,0.9723378822163565,False,False
STAIT,Mean,S1_D1,0,16,-0.06642111641550714,0.8069196812708849,0.9767975089068607,False,False
STAIT,Mean,S1_D3,1,16,-0.19483527481882096,0.4696198319755144,0.9767975089068607,False,False
STAIT,Mean,S2_D2,2,16,-0.10922583588327842,0.6871901641687317,0.9767975089068607,False,False
STAIT,Mean,S2_D1,3,16,0.004428074427700476,0.9870146620597277,0.9870146620597277,False,False
STAIT,Mean,S2_D5,4,16,-0.023616396947735874,0.9308193387525493,0.9870146620597277,False,False
STAIT,Mean,S3_D1,5,16,-0.20073937405575493,0.4559922202851046,0.9767975089068607,False,False
STAIT,Mean,S3_D3,6,16,-0.2656844656620286,0.31995158843298066,0.9767975089068607,False,False
STAIT,Mean,S3_D4,7,16,0.10184571183711096,0.7074260900916715,0.9767975089068607,False,False
STAIT,Mean,S3_D6,8,16,0.18450310115418653,0.4939398223599603,0.9767975089068607,False,False
STAIT,Mean,S4_D4,9,16,-0.016236272901568413,0.9524103211887295,0.9870146620597277,False,False
STAIT,Mean,S4_D5,10,16,-0.08118136450784207,0.7650333185532296,0.9767975089068607,False,False
STAIT,Mean,S4_D7,11,16,-0.06642111641550714,0.8069196812708849,0.9767975089068607,False,False
STAIT,Mean,S5_D2,12,16,-0.34243775574217017,0.19417741750633663,0.9767975089068607,False,False
STAIT,Mean,S5_D5,13,16,-0.21107154772038936,0.4326282626135926,0.9767975089068607,False,False
STAIT,Mean,S5_D8,14,16,-0.21992769657579034,0.41310380254494455,0.9767975089068607,False,False
STAIT,Mean,S6_D3,15,16,-0.20959552291115588,0.4359277109803069,0.9767975089068607,False,False
STAIT,Mean,S6_D6,16,16,-0.23763999428659222,0.37548475767391626,0.9767975089068607,False,False
STAIT,Mean,S7_D4,17,16,0.25387626718816064,0.34272156915278384,0.9767975089068607,False,False
STAIT,Mean,S7_D6,18,16,-0.004428074427700476,0.9870146620597277,0.9870146620597277,False,False
STAIT,Mean,S7_D7,19,16,0.14317440649564875,0.5968191733177075,0.9767975089068607,False,False
STAIT,Mean,S8_D5,20,16,-0.11365391031097889,0.6751424880884956,0.9767975089068607,False,False
STAIT,Mean,S8_D7,21,16,-0.12546210878484684,0.6433812921070735,0.9767975089068607,False,False
STAIT,Mean,S8_D8,22,16,-0.31882135879443435,0.22875877895698063,0.9767975089068607,False,False
HAMA,GNG,S1_D1,0,15,0.23571428571428568,0.3977029459032729,0.8755342451193817,False,False
HAMA,GNG,S1_D3,1,15,0.16428571428571426,0.5584973732486013,0.8755342451193817,False,False
HAMA,GNG,S2_D2,2,15,0.18928571428571428,0.4992630332385453,0.8755342451193817,False,False
HAMA,GNG,S2_D1,3,15,0.2607142857142857,0.3479794598627936,0.8755342451193817,False,False
